,Headlines,Inclination,Source
0,Bill Clinton: George H.W. Bush’s Oval Office note to me revealed the heart of who he was,left,Washington Post
1,Can lefties and right-wingers find common ground? One site thinks so,left,San Francisco Chronicle
2,Train for Thanksgiving With Our Angry Uncle Bot,left,Guest Writer - Left
3,Michael Moore Issues Slice Of Thanksgiving Dinner Advice For Democrats,left,HuffPost
4,Biden and McCain's longtime friendship to be on display at memorial service,left,NBCNews.com
5,'This Is America. This Is Good': Encounter Between Political Rivals Cruz and O'Rourke Proves Civility Not Dead,right,CBN
6,The Way Forward from the Midterms,right,National Review
7,OPINION: Bringing American politics back from the brink,right,Mitch McConnell
8,OPINION; What Do We Have In Common?,right,Ben Shapiro
9,OPINION: Screaming and Whining Aren't Strategies,right,Ben Shapiro
10,Warning To Democrats: Most Americans Against U.S. Getting More Politically Correct,center,NPR News
11,"Divided America, difficult conversations: If you're ready to have them, here's how",center,Chicago Tribune
12,The Kavanaugh debate was destructive tribalism on steroids: Here’s how we can stop it from happening again,center,The Hill
13,"John McCain: Why Joe Biden will eulogize his longtime friend. 'If he needed my personal help, I’d go'",center,USA TODAY
14,"Lies, Intimidation Used to Keep Charlottesville Divided — Yet Hope Remains",center,IVN
15,Criminal justice reform bill passed by Senate in rare bipartisan victory,left,The Guardian
16,Senate Passes Criminal Justice Reform Bill,left,HuffPost
17,Trump Expected to Endorse Deal to Change Nation’s Sentencing Laws,left,New York Times - News
18,"3 Years Later, The Federal Government Still Hasn’t Counted Sandra Bland’s Death",left,HuffPost
19,Trump pardons father-and-son ranchers who set fires on federal lands,left,NBCNews.com
20,'A Breakthrough I'd Never Expect': Why Democrats Are Praising the White House for This Historic Move,right,CBN
21,Senate Overwhelmingly Passes Criminal Justice Overhaul,right,CBN
22,"Innocent Until Proven Guilty, But Only If You Can Pay",right,Reason
23,"Trump Pardons Oregon Cattle Ranchers, Citing ‘Overzealous Appeal’ by Obama Administration",right,Washington Free Beacon
24,President Trump Was Right to Commute Alice Johnson’s Sentence,right,National Review
25,US Senate passes sweeping criminal justice reform bill,center,BBC News
26,Trump pardon for Oregon ranchers who inspired refuge standoff,center,Reuters
27,"Erica Garner, outspoken activist after her dad was police chokehold victim, dies",center,USA TODAY
28,Ex-South Carolina cop gets 20 years in prison for black motorist's death,center,Reuters
29,OJ Simpson released on parole from Nevada jail,center,BBC News
30,Russian 2016 Influence Operation Targeted African-Americans,left,New York Times - News
31,Russia’s Pro-Trump Disinformation Campaign Used Every Major Social Media Platform,left,Slate
32,"New report on Russian disinformation, prepared for the Senate, shows the operation’s scale and sweep",left,Washington Post
33,Sanders hints at reckoning with Warren over 2020 ambitions,left,Politico
34,"In 2020, Democrats Expect a Female Front-Runner. Or Three.",left,New York Times - News
35,New Report On Russian Disinformation Shows The Operation’s Scale And Sweep,right,HotAir
